Id,Postcode,Latitude,Longitude
153,CH1 4EE,53.194484,-2.893843
154,DE14 1NG,52.807206,-1.62755
155,WR11 1LP,52.081991,-1.950009
156,CV35 9BL,52.197131,-1.555539
157,CV21 1AR,52.381236,-1.253857
158,CV32 5JE,52.287561,-1.549577
159,B8 2AS,52.490032,-1.821695
160,HP1 1HD,51.756911,-0.473082
161,WD4 8LZ,51.707013,-0.440129
162,WD17 3EZ,51.660054,-0.406211
163,LU2 7BF,51.90603,-0.421883
164,LU3 4BU,51.9203,-0.432042
165,HU5 4NT,53.766084,-0.387376
166,HU3 2JZ,53.744113,-0.358146
167,HU3 4AE,53.729806,-0.373324
168,LE1 7LW,52.625777,-1.125166
169,BN14 9FD,50.836208,-0.382203
170,WR5 2LU,52.183974,-2.186774
171,NN29 7PH,52.256826,-0.662636
172,CH41 1AA,53.400723,-3.022109
173,CH63 7LH,53.360557,-3.0077
174,CH41 4NT,53.393088,-3.021491
175,CH41 1AG,53.397239,-3.01756
176,SP1 2LW,51.064561,-1.787546
177,BA14 0ES,51.30808,-2.222514
178,SN15 3QD,51.463002,-2.110726
179,SN15 2NY,51.430551,-2.112364
180,NW5 1RN,51.558701,-0.150262
181,HU8 9HD,53.774574,-0.278441
182,S2 3GE,53.365084,-1.465612
183,WN7 4JY,53.489454,-2.531079
184,WN1 2JH,53.555867,-2.638136
185,WN1 1RR,53.548738,-2.635085
186,S66 1JL,53.421931,-1.273508
187,NE16 5AR,54.940512,-1.684805
188,DT4 7LQ,50.622896,-2.451425
189,BS22 8ND,51.349176,-2.947182
190,BS23 2AL,51.350953,-2.981524
191,BS23 4QU,51.324461,-2.968688
192,BS24 8EE,51.342113,-2.935069
193,TW13 5DR,51.447431,-0.397464
194,TW7 4HS,51.475195,-0.342176
195,IP33 3RL,52.249242,0.700211
196,NG17 7RB,53.116107,-1.243098
197,NG17 5FA,53.114627,-1.255016
198,NG18 5BH,53.121674,-1.191505
199,TN23 1NN,51.145554,0.87377
200,TN9 2PW,51.186726,0.263001
201,NN8 3JH,52.302089,-0.713088
202,CO5 0EW,51.819431,0.748173
203,S60 2BE,53.419534,-1.350649
204,OL6 6DD,53.490543,-2.094054
205,OL6 6DF,53.490535,-2.093014
206,OL6 6NX,53.487938,-2.080771
207,SN2 1DY,51.568405,-1.787517
208,NG17 1EE,53.124279,-1.260361
209,SM5 3BB,51.366202,-0.159879
210,SM4 6JS,51.385275,-0.189323
211,IP4 1LT,52.054871,1.165925
212,NE5 2SZ,54.994321,-1.698841
213,BA16 0AB,51.130495,-2.734039
214,ST6 1JJ,53.047281,-2.185388
215,ST4 2DG,53.014744,-2.182475
216,PL3 4BD,50.381339,-4.159078
217,PL1 1DN,50.370001,-4.138397
218,PL5 3BX,50.412685,-4.135632
219,PL4 0SW,50.363213,-4.115665
220,PL5 3NG,50.402639,-4.154122
221,TS10 1EZ,54.614542,-1.075195
222,TS17 6FB,54.562248,-1.299088
223,LE67 3TN,52.737048,-1.372555
224,HA7 4BQ,51.61362,-0.310489
225,W10 6EY,51.520273,-0.215844
226,PO12 4QA,50.800295,-1.136242
227,NE38 8AF,54.887945,-1.520951
228,GU22 9AL,51.308097,-0.549495
229,WN5 0LJ,53.554199,-2.69858
230,PE1 5JN,52.581632,-0.223004
231,L36 3SD,53.427659,-2.856783
232,WA10 1PP,53.452648,-2.74147
233,DN34 5BQ,53.553451,-0.093352
234,YO11 3AZ,54.262655,-0.394603
235,BL1 6PQ,53.601347,-2.443718
236,TF1 2NP,52.697329,-2.498607
237,BH14 0LS,50.724709,-1.961881
238,SL3 8BY,51.505512,-0.545036
239,WD24 4PT,51.667249,-0.390486
240,TN24 9AL,51.173336,0.884468
241,GU14 8JX,51.304907,-0.756104
242,S2 3GE,53.365084,-1.465612
243,S6 2ET,53.405405,-1.489987
244,S20 8LY,53.342864,-1.362959
245,S2 2RL,53.3726,-1.460137
246,LN6 0PE,53.221358,-0.602243
247,RG10 8DS,51.490392,-0.871292
248,OL9 6AA,53.542626,-2.119959
249,W1F 7LN,51.514867,-0.13879
250,ST14 5JX,52.950664,-1.837431
251,HP12 3NE,51.618349,-0.773578
252,RG4 9RH,51.515507,-0.980401
253,RG1 5AN,51.451022,-0.95933
254,RG9 1EY,51.530927,-0.899334
255,RG9 1UH,51.536049,-0.907967
256,GL54 2BD,51.888451,-1.758319
257,CB24 6DB,52.246607,0.16449
258,PE30 2QW,52.756352,0.410694
259,RH12 2EJ,51.071001,-0.324301
260,L1 9DW,53.401277,-2.974188
261,L3 6BN,53.414289,-2.990013
262,L1 5BG,53.399894,-2.979571
263,L7 7JA,53.401231,-2.96763
264,CT2 8QA,51.278905,1.063243
265,E5 8BP,51.5593,-0.056778
266,RG4 8AA,51.466886,-0.977022
267,FY3 7LR,53.837702,-3.015881
268,BA21 4DR,50.948522,-2.63778
269,PR3 0RY,53.853081,-2.763081
270,BB2 2TP,53.740463,-2.516577
271,L12 0HR,53.440083,-2.890921
272,WA4 6SN,53.361468,-2.602168
